home_team,week
Kansas City,1
Carolina,1
Jacksonville,1
New England,1
Washington,1
Atlanta,1
Minnesota,1
Buffalo,1
Baltimore,1
Detroit,1
Cincinnati,1
San Francisco,1
New Orleans,1
L.A. Rams,1
N.Y. Giants,1
Denver,1
Cleveland,2
Tennessee,2
Green Bay,2
Philadelphia,2
Chicago,2
N.Y. Jets,2
Pittsburgh,2
Indianapolis,2
Tampa Bay,2
Miami,2
Dallas,2
Arizona,2
Houston,2
L.A. Chargers,2
Seattle,2
Las Vegas,2
Jacksonville,3
Buffalo,3
Pittsburgh,3
New England,3
Minnesota,3
Cleveland,3
Philadelphia,3
N.Y. Giants,3
Atlanta,3
L.A. Chargers,3
Indianapolis,3
Seattle,3
Arizona,3
Denver,3
New Orleans,3
Baltimore,3
N.Y. Jets,4
Tampa Bay,4
Cincinnati,4
Houston,4
Tennessee,4
Miami,4
Dallas,4
Detroit,4
Washington,4
Carolina,4
L.A. Rams,4
Las Vegas,4
Chicago,4
San Francisco,4
Kansas City,4
Green Bay,4
Chicago,5
Houston,5
Baltimore,5
Washington,5
Kansas City,5
Pittsburgh,5
Atlanta,5
N.Y. Jets,5
San Francisco,5
Cleveland,5
Dallas,5
Seattle,5
New Orleans,5
Tennessee,5
Pittsburgh,6
Indianapolis,6
New England,6
Jacksonville,6
N.Y. Giants,6
Tennessee,6
Carolina,6
Philadelphia,6
Minnesota,6
Miami,6
Tampa Bay,6
San Francisco,6
Buffalo,6
Dallas,6
Philadelphia,7
Washington,7
Cincinnati,7
Atlanta,7
Houston,7
Tennessee,7
New Orleans,7
N.Y. Jets,7
Las Vegas,7
L.A. Chargers,7
Denver,7
New England,7
Arizona,7
L.A. Rams,7
Carolina,8
Buffalo,8
Green Bay,8
Kansas City,8
Baltimore,8
Cincinnati,8
Cleveland,8
Miami,8
Detroit,8
Denver,8
Chicago,8
Seattle,8
Philadelphia,8
N.Y. Giants,8
San Francisco,9
Minnesota,9
Atlanta,9
Jacksonville,9
Washington,9
Buffalo,9
Tennessee,9
Kansas City,9
Indianapolis,9
L.A. Chargers,9
Arizona,9
Dallas,9
Tampa Bay,9
N.Y. Jets,9
Tennessee,10
Green Bay,10
Cleveland,10
N.Y. Giants,10
Carolina,10
Detroit,10
Miami,10
Las Vegas,10
Arizona,10
Pittsburgh,10
L.A. Rams,10
New Orleans,10
New England,10
Chicago,10
Seattle,11
Houston,11
Carolina,11
Cleveland,11
Jacksonville,11
Baltimore,11
Washington,11
New Orleans,11
L.A. Chargers,11
Denver,11
Minnesota,11
Indianapolis,11
Las Vegas,11
Tampa Bay,11
